round,length
0,10.39
1,9.59
2,9.71
3,8.68
4,9.09
5,9.44
6,9.51
7,10.96
8,9.16
9,9.51
10,9.12
11,9.91
12,10.14
13,9.62
14,10.07
15,9.2
16,10.46
17,10.24
18,9.88
19,10.39
20,9.92
21,9.72
22,9.1
23,10.02
24,9.89
25,9.49
26,10.8
27,10.4
28,10.67
29,10.49
30,10.28
31,11.21
32,10.31
33,10.3
34,11.05
35,10.92
36,10.46
37,11.25
38,11.0
39,1
40,11.3
41,12.53
42,11.38
43,12.3
44,11.73
45,12.12
46,10.62
47,13.22
48,11.57
49,12.56
50,10.79
51,11.65
52,11.91
53,13.05
54,13.2
55,12.14
56,11.91
57,11.62
58,12.82
59,11.51
60,11.67
61,11.73
62,12.07
63,11.99
64,11.43
65,11.92
66,11.54
67,12.47
68,12.56
69,12.03
70,12.28
71,12.83
72,12.46
73,12.36
74,11.55
75,11.78
76,12.34
77,12.0
78,12.15
79,12.14
80,13.37
81,12.57
82,11.13
83,12.65
84,12.58
85,12.16
86,12.88
87,12.24
88,12.86
89,11.32
90,13.23
91,11.58
92,12.88
93,12.44
94,12.45
95,12.45
96,12.51
97,13.16
98,11.5
99,11.57
100,12.39
101,11.19
102,11.36
103,10.81
104,10.04
105,9.37
106,9.76
107,9.88
108,9.55
109,9.19
110,9.87
111,9.74
112,9.12
113,9.96
114,9.64
115,9.76
116,9.75
117,10.07
118,8.79
119,9.12
120,9.39
121,8.81
122,10.13
123,9.46
124,8.75
125,9.53
126,9.15
127,8.99
128,9.43
129,9.69
130,9.8
31,8.57
132,9.96
133,9.37
134,9.64
135,9.23
136,8.81
137,9.0
38,9.48
139,9.94
140,9.23
141,9.12
142,9.06
143,8.95
144,9.09
145,9.04
146,9.71
147,9.44
148,9.03
149,9.41
150,9.69
151,9.35
152,9.1
153,9.34
154,8.65
155,8.48
156,8.49
157,9.31
158,9.21
159,8.63
160,9.28
161,9.95
162,8.95
163,8.94
164,9.15
165,8.89
166,9.07
167,8.7
168,9.69
169,9.59
170,9.93
171,9.32
172,9.67
173,9.7
174,9.99
175,10.21
176,9.54
177,11.49
178,11.23
179,11.69
180,9.71
181,10.71
182,10.62
183,9.55
184,10.79
185,9.95
186,11.43
187,12.1
188,11.59
189,11.38
190,11.77
191,11.11
192,12.63
193,11.4
194,11.71
195,11.37
196,11.19
197,11.81
198,12.18
199,11.58
200,10.92
201,11.43
202,11.27
203,11.86
204,11.36
205,11.12
206,11.0
207,11.03
208,10.4
209,9.51
210,11.09
211,10.27
212,9.67
213,11.37
214,10.39
215,10.41
216,10.52
217,11.28
218,10.59
219,10.77
220,9.75
221,11.11
222,10.02
223,9.4
224,10.11
225,9.93
226,10.61
227,10.75
228,12.04
229,11.63
230,12.09
231,11.2
232,11.9
233,10.82
234,9.98
235,10.23
236,9.84
237,10.92
238,11.02
239,9.45
240,10.48
241,10.46
242,9.82
243,9.03
244,9.62
245,10.89
246,10.09
247,9.87
248,10.32
249,10.18
250,10.04
251,9.04
252,10.09
253,11.41
254,11.42
255,11.16
256,11.02
257,11.2
258,11.62
259,10.65
260,9.19
261,10.84
262,9.72
263,10.51
264,10.0
265,9.26
266,9.78
267,10.05
268,10.02
269,9.66
270,10.5
271,10.36
272,9.86
273,10.5
274,9.5
75,9.64
276,10.88
277,11.95
278,12.21
279,10.73
280,12.16
281,11.34
282,9.72
283,10.61
284,9.74
285,9.1
86,10.38
287,9.25
288,9.73
289,9.67
290,9.75
291,9.34
292,10.0
293,10.38
294,10.67
295,10.08
296,9.68
297,9.63
298,9.99
299,10.5
300,10.56
0,9.99
1,9.28
2,9.34
0,9.43
