iteration,length
0,10.56
1,10.3
2,9.85
3,9.63
4,10.43
5,10.19
6,10.32
7,9.32
8,10.02
9,10.27
0,9.0
1,11.16
2,10.45
3,9.54
4,10.14
5,9.82
6,10.18
7,10.13
8,10.14
9,11.26
10,10.16
11,10.51
12,10.77
13,10.39
14,10.53
15,9.76
16,10.72
17,9.88
18,10.22
19,10.52
20,10.11
21,9.9
22,10.25
23,10.2
24,10.05
0,10.91
1,9.78
2,10.46
3,10.27
4,9.29
5,9.97
6,11.14
7,9.26
8,9.65
9,9.45
10,9.89
11,9.44
12,9.92
13,9.81
14,10.21
15,9.69
16,10.57
17,10.35
18,10.49
19,11.14
20,10.18
21,10.12
22,8.93
23,10.05
24,9.9
25,10.54
26,9.72
27,10.7
28,10.54
29,10.51
30,10.33
31,10.5
32,9.69
33,9.68
34,10.84
35,9.0
36,10.48
37,11.36
38,9.59
39,9.78
40,9.18
41,9.33
42,10.69
43,10.27
44,10.35
45,9.87
46,9.84
47,9.27
48,9.63
49,9.27
50,9.73
51,10.46
52,10.12
53,10.66
54,9.67
55,9.96
56,8.81
57,10.03
58,10.14
59,9.91
60,10.2
61,10.01
62,10.09
63,10.08
